county,id,county_code,total_population,female,male,american_indian_or_alaska_native,asian_or_pacific_islander,black_or_african_american,hispanic_or_latino,white
Alameda County,0500000US06001,06001,1671329,848082,823247,5448,565333,185058,373055,542435
Alpine County,0500000US06003,06003,1129,520,609,248,18,19,139,705
Amador County,0500000US06005,06005,39752,18114,21638,741,744,1173,5753,31341
Butte County,0500000US06007,06007,219186,110713,108473,4020,12220,5322,37731,159893
Calaveras County,0500000US06009,06009,45905,23058,22847,750,959,656,5967,37573
Colusa County,0500000US06011,06011,21547,10572,10975,322,361,321,13018,7525
Contra Costa County,0500000US06013,06013,1153526,589339,564187,4282,224442,111368,300420,513014
Del Norte County,0500000US06015,06015,27812,12626,15186,2305,931,1106,5596,17874
El Dorado County,0500000US06017,06017,192843,96685,96158,1870,10857,2410,25378,152328
Fresno County,0500000US06019,06019,999101,500453,498648,7141,108435,50814,537180,295531
Glenn County,0500000US06021,06021,28393,13931,14462,518,811,361,12079,14624
Humboldt County,0500000US06023,06023,135558,68317,67241,8288,4604,2821,16354,103491
Imperial County,0500000US06025,06025,181215,88337,92878,1394,2394,4579,154088,18760
Inyo County,0500000US06027,06027,18039,9003,9036,2020,312,273,4230,11204
Kern County,0500000US06029,06029,900202,439168,461034,6600,46192,51358,491545,304507
Kings County,0500000US06031,06031,152940,68598,84342,1568,6518,10558,84514,49782
Lake County,0500000US06033,06033,64386,32192,32194,1962,1109,1627,14171,45517
Lassen County,0500000US06035,06035,30573,11547,19026,1004,701,2647,5910,20311
Los Angeles County,0500000US06037,06037,10039107,5090066,4949041,26946,1562454,842799,4881970,2724938
Madera County,0500000US06039,06039,157327,81442,75885,1987,3757,5536,92483,53564
Marin County,0500000US06041,06041,258826,132209,126617,765,19540,7938,42160,188423
Mariposa County,0500000US06043,06043,17203,8439,8764,551,306,323,2073,13950
Mendocino County,0500000US06045,06045,86749,43728,43021,3916,2144,1177,22379,57133
Merced County,0500000US06047,06047,277680,137495,140185,1428,21240,9473,169442,76097
Modoc County,0500000US06049,06049,8841,4393,4448,297,124,173,1291,6956
Mono County,0500000US06051,06051,14444,6786,7658,274,427,192,3875,9676
Monterey County,0500000US06053,06053,434061,212932,221129,1773,29293,12794,257721,132480
Napa County,0500000US06055,06055,137744,69209,68535,708,12977,3438,47660,72961
Nevada County,0500000US06057,06057,99755,50752,49003,1073,1804,919,9732,86227
Orange County,0500000US06059,06059,3175692,1608867,1566825,8732,708484,62548,1081091,1314837
Placer County,0500000US06061,06061,398329,203841,194488,2787,36629,8901,57381,292631
Plumas County,0500000US06063,06063,18807,9450,9357,497,236,330,1750,15994
Riverside County,0500000US06065,06065,2470546,1238534,1232012,14386,180386,168461,1236032,871281
Sacramento County,0500000US06067,06067,1552058,793161,758897,10559,288927,174466,366764,711342
San Benito County,0500000US06069,06069,62808,31360,31448,311,2207,850,38214,21226
San Bernardino County,0500000US06071,06071,2180085,1094478,1085607,10743,174979,190348,1186808,617207
San Diego County,0500000US06073,06073,3338330,1658313,1680017,17398,442681,179393,1140033,1558825
San Francisco County,0500000US06075,06075,881549,432328,449221,2399,325796,49496,134309,369549
San Joaquin County,0500000US06077,06077,762148,381955,380193,4311,132411,60528,320334,244564
San Luis Obispo County,0500000US06079,06079,283111,139734,143377,1767,12160,6093,64860,198231
San Mateo County,0500000US06081,06081,766573,387065,379508,1501,250817,21190,183978,309087
Santa Barbara County,0500000US06083,06083,446499,223254,223245,2373,27160,10076,205535,201355
Santa Clara County,0500000US06085,06085,1927852,951005,976847,5300,766054,52668,482298,621532
Santa Cruz County,0500000US06087,06087,273213,138037,135176,1415,15575,4058,92922,159243
Shasta County,0500000US06089,06089,180080,91607,88473,4916,6584,3221,18935,146424
Sierra County,0500000US06091,06091,3005,1496,1509,54,24,45,381,2501
Siskiyou County,0500000US06093,06093,43539,21885,21654,2109,903,950,5744,33833
Solano County,0500000US06095,06095,447643,224879,222764,2543,79486,68662,122103,174849
Sonoma County,0500000US06097,06097,494336,253115,241221,4288,25506,10793,134954,318795
Stanislaus County,0500000US06099,06099,550660,277704,272956,3490,37369,17908,262068,229825
Sutter County,0500000US06101,06101,96971,48668,48303,1088,16858,2769,30907,45349
Tehama County,0500000US06103,06103,65084,32718,32366,1503,1070,856,16776,44879
Trinity County,0500000US06105,06105,12285,5971,6314,613,220,171,907,10374
Tulare County,0500000US06107,06107,466195,233206,232989,3668,16911,7028,305824,132764
Tuolumne County,0500000US06109,06109,54478,26265,28213,1020,957,1249,6906,44346
Ventura County,0500000US06111,06111,846006,427294,418712,3302,70139,18281,365835,388449
Yolo County,0500000US06113,06113,220500,113624,106876,1480,36083,6809,70392,105736
Yuba County,0500000US06115,06115,78668,38849,39819,1545,6142,3800,22925,44256
