id,county,estimate_male,percent_male,estimate_female,percent_female,estimate_hispanic_or_latino,percent_hispanic_or_latino,estimate_white,percent_white,estimate_black,percent_black,estimate_native_american,percent_native_american,estimate_asian,percent_asian,estimate_pacific_islander,percent_pacific_islander,estimate_other_races,percent_other_races,estimate_total_housing_units
0500000US06001,Alameda County,823696,0.493,847633,0.507,373055,0.223,508598,0.304,172718,0.10300000000000001,5518,0.003,517004,0.309,12858,0.008,81578,0.049,622957
0500000US06007,Butte County,108389,0.495,110797,0.505,37731,0.172,155136,0.708,3758,0.017,1067,0.005,9763,0.045,527,0.002,11204,0.051,86212
0500000US06013,Contra Costa County,563385,0.488,590141,0.512,300420,0.26,489677,0.425,99615,0.086,2259,0.002,203261,0.17600000000000002,4020,0.003,54274,0.047,418696
0500000US06017,El Dorado County,95507,0.495,97336,0.505,25378,0.132,148711,0.7709999999999999,1409,0.006999999999999999,1993,0.01,9991,0.052000000000000005,125,0.001,5236,0.027000000000000003,91662
0500000US06019,Fresno County,499209,0.5,499892,0.5,537180,0.5379999999999999,285269,0.28600000000000003,43602,0.044000000000000004,6251,0.006,101152,0.10099999999999999,1811,0.002,23836,0.024,336479
0500000US06023,Humboldt County,66417,0.49,69141,0.51,16354,0.121,100078,0.738,1790,0.013000000000000001,6203,0.046,3525,0.026000000000000002,539,0.004,7069,0.052000000000000005,63723
0500000US06025,Imperial County,92926,0.513,88289,0.48700000000000004,154088,0.85,18139,0.1,3624,0.02,2158,0.012,2269,0.013000000000000001,0,0,937,0.005,58285
0500000US06029,Kern County,460491,0.512,439711,0.488,491545,0.546,295068,0.32799999999999996,44566,0.05,4285,0.005,41093,0.046,907,0.001,22738,0.025,302927
0500000US06031,Kings County,83977,0.5489999999999999,68963,0.451,84514,0.5529999999999999,47938,0.313,8130,0.053,1436,0.009000000000000001,4951,0.032,460,0.003,5511,0.036000000000000004,46958
0500000US06033,Lake County,31474,0.489,32912,0.511,14171,0.22,44367,0.6890000000000001,1247,0.019,2146,0.033,499,0.008,27,0,1929,0.03,34566
0500000US06037,Los Angeles County,4949825,0.493,5089282,0.507,4881970,0.486,2596980,0.259,777195,0.077,24249,0.002,1456809,0.145,22606,0.002,279298,0.027999999999999997,3579423
0500000US06039,Madera County,76562,0.48700000000000004,80765,0.513,92484,0.588,51998,0.331,3725,0.024,1399,0.009000000000000001,3530,0.022000000000000002,1131,0.006999999999999999,3060,0.019000000000000003,51440
0500000US06041,Marin County,126643,0.489,132183,0.511,42160,0.163,183557,0.7090000000000001,6663,0.026000000000000002,70,0,16383,0.063,273,0.001,9720,0.038,113345
0500000US06045,Mendocino County,42245,0.48700000000000004,44504,0.513,22379,0.258,55820,0.643,823,0.009000000000000001,3868,0.045,1936,0.022000000000000002,135,0.002,1788,0.02,41027
0500000US06047,Merced County,140344,0.505,137336,0.495,169442,0.61,73218,0.264,8833,0.032,1068,0.004,20232,0.073,34,0,4853,0.017,86386
0500000US06053,Monterey County,220206,0.507,213855,0.493,257721,0.594,126493,0.29100000000000004,11212,0.026000000000000002,595,0.001,25279,0.057999999999999996,757,0.002,12004,0.027000000000000003,143213
0500000US06055,Napa County,68568,0.498,69176,0.502,47661,0.34600000000000003,70896,0.515,3031,0.022000000000000002,692,0.005,11293,0.08199999999999999,237,0.002,3934,0.028999999999999998,55659
0500000US06057,Nevada County,48342,0.485,51413,0.515,9731,0.098,84530,0.847,310,0.003,263,0.003,1187,0.012,342,0.003,3392,0.034,54825
0500000US06059,Orange County,1568073,0.494,1607619,0.506,1081091,0.34,1260906,0.397,52029,0.016,5382,0.002,668434,0.21,9712,0.003,98138,0.031,1118148
0500000US06061,Placer County,194974,0.489,203355,0.511,57381,0.14400000000000002,284331,0.7140000000000001,7663,0.019,1504,0.004,32594,0.08199999999999999,700,0.002,14156,0.035,168942
0500000US06065,Riverside County,1232033,0.499,1238513,0.501,1236032,0.5,836932,0.33899999999999997,151215,0.061,10320,0.004,165066,0.067,7961,0.003,63020,0.025999999999999995,857222
0500000US06067,Sacramento County,758955,0.489,793103,0.511,366764,0.23600000000000002,678326,0.43700000000000006,144416,0.09300000000000001,5738,0.004,247383,0.159,18873,0.012,90558,0.059000000000000004,578966
0500000US06071,San Bernardino County,1086226,0.498,1093859,0.502,1186808,0.544,591879,0.271,168946,0.077,7955,0.004,157172,0.07200000000000001,6545,0.003,60780,0.028000000000000004,731393
0500000US06073,San Diego County,1680316,0.503,1658014,0.49700000000000005,1140033,0.341,1495234,0.44799999999999995,156423,0.047,12301,0.004,394644,0.11800000000000001,12648,0.004,127047,0.038000000000000006,1233923
0500000US06075,San Francisco County,447416,0.508,434133,0.49200000000000005,134309,0.152,351010,0.39799999999999996,46063,0.052000000000000005,2465,0.003,304721,0.34600000000000003,3548,0.004,39433,0.045,406399
0500000US06077,San Joaquin County,380845,0.5,381303,0.5,320334,0.42,231286,0.303,50665,0.066,2254,0.003,120669,0.158,4944,0.006,31996,0.041999999999999996,248673
0500000US06079,San Luis Obispo County,141980,0.501,141131,0.499,64860,0.22899999999999998,192715,0.6809999999999999,4871,0.017,1380,0.005,10610,0.037000000000000005,253,0.001,8422,0.03,123969
0500000US06081,San Mateo County,378576,0.494,387997,0.506,183978,0.24,294406,0.384,16441,0.021,1212,0.002,227794,0.297,9236,0.012,33506,0.044,280500
0500000US06083,Santa Barbara County,223859,0.501,222640,0.499,205536,0.46,194507,0.436,8739,0.02,1952,0.004,25139,0.055999999999999994,370,0.001,10256,0.023000000000000003,159286
0500000US06085,Santa Clara County,976303,0.506,951549,0.494,482298,0.25,586461,0.304,46306,0.024,3213,0.002,724178,0.376,6752,0.004,78644,0.04,686306
0500000US06087,Santa Cruz County,135458,0.496,137755,0.504,92921,0.34,154075,0.564,2230,0.008,435,0.002,13699,0.05,76,0,9777,0.036,107137
0500000US06089,Shasta County,89171,0.495,90909,0.505,18936,0.105,142289,0.79,1878,0.01,3527,0.02,6316,0.035,550,0.003,6584,0.036000000000000004,78621
0500000US06095,Solano County,222048,0.496,225595,0.504,122103,0.273,165752,0.37,59764,0.134,1130,0.003,68374,0.153,3775,0.008,26745,0.059000000000000004,159804
0500000US06097,Sonoma County,240513,0.48700000000000004,253823,0.513,134954,0.273,310067,0.627,6447,0.013000000000000001,2260,0.005,20402,0.040999999999999995,1864,0.004,18342,0.037000000000000005,208293
0500000US06099,Stanislaus County,271489,0.493,279171,0.507,262068,0.47600000000000003,221773,0.40299999999999997,15811,0.028999999999999998,2121,0.004,31349,0.057,2698,0.005,14840,0.027000000000000003,182987
0500000US06101,Sutter County,48884,0.504,48087,0.496,30906,0.319,43481,0.44799999999999995,1744,0.018000000000000002,712,0.006999999999999999,15642,0.161,184,0.002,4302,0.044,34577
0500000US06103,Tehama County,32691,0.502,32393,0.498,16776,0.258,43744,0.672,224,0.003,455,0.006999999999999999,1166,0.018000000000000002,0,0,2719,0.042,27848
0500000US06107,Tulare County,232817,0.499,233378,0.501,305824,0.6559999999999999,128499,0.276,5559,0.012,2651,0.006,15831,0.034,736,0.002,7095,0.016,151599
0500000US06111,Ventura County,417932,0.494,428074,0.506,365835,0.43200000000000005,376524,0.445,15062,0.018000000000000002,1639,0.002,62586,0.07400000000000001,925,0.001,23435,0.028000000000000004,291547
0500000US06113,Yolo County,107020,0.485,113480,0.515,70392,0.319,101080,0.45799999999999996,5813,0.026000000000000002,1849,0.008,31528,0.14300000000000002,1011,0.005,8827,0.04,79252
0500000US06115,Yuba County,39862,0.507,38806,0.493,22925,0.29100000000000004,42416,0.539,2610,0.033,186,0.002,4049,0.051,645,0.008,5837,0.07400000000000001,29051
